Category: All categories,
,
Month,bitcoin: (Worldwide)
2012-01,1
2012-02,<1
2012-03,<1
2012-04,1
2012-05,1
2012-06,<1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,<1
2012-12,<1
2013-01,1
2013-02,1
2013-03,4
2013-04,15
2013-05,5
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,4
2013-11,20
2013-12,29
2014-01,19
2014-02,30
2014-03,28
2014-04,9
2014-05,6
2014-06,7
2014-07,6
2014-08,5
2014-09,4
2014-10,4
2014-11,3
2014-12,5
2015-01,5
2015-02,4
2015-03,6
2015-04,3
2015-05,3
2015-06,4
2015-07,4
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,5
2016-01,4
2016-02,4
2016-03,5
2016-04,3
2016-05,8
2016-06,7
2016-07,7
2016-08,6
2016-09,6
2016-10,5
2016-11,6
2016-12,6
2017-01,9
2017-02,8
2017-03,11
2017-04,6
2017-05,15
2017-06,13
2017-07,13
2017-08,21
2017-09,24
2017-10,25
2017-11,54
2017-12,100
2018-01,61
2018-02,55
2018-03,30
2018-04,27
2018-05,20
2018-06,18
2018-07,18
2018-08,20
2018-09,16
2018-10,16
2018-11,24
2018-12,18
2019-01,14
2019-02,15
2019-03,14
2019-04,19
2019-05,25
2019-06,29
2019-07,22
2019-08,15
2019-09,16
2019-10,16
2019-11,14
2019-12,16
2020-01,15
2020-02,16
2020-03,16
2020-04,15
2020-05,22
2020-06,14
2020-07,15
2020-08,15
2020-09,13
2020-10,15
2020-11,26
2020-12,33
2021-01,53
2021-02,66
2021-03,55
2021-04,36
